FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
37001,NC,Alamance,Southeast,46060.0,29,81,4,32.1,15,white_not_hispanic_2017,129,125,12.50928885427019,27.93012990966309,34.22237740950641
22097,LA,St. Landry,South,32185.0,31,56,2,36.2,8,white_not_hispanic_2017,43,24,23.33681189668667,39.24937572211248,22.29883343893258
26087,MI,Lapeer,Upper Midwest,56079.0,10,39,2,32.3,4,white_not_hispanic_2017,41,44,8.760496502493666,36.20835258687997,36.72461320288723
47123,TN,Monroe,Ohio Valley,38265.0,12,29,2,32.8,2,white_not_hispanic_2017,28,31,15.35652856151362,40.10682277678868,29.20124324813664
31185,NE,York,Northern Rockies & Plains,53960.0,4,6,1,32.8,1,white_not_hispanic_2017,12,13,5.742402941494539,26.7221801665405,40.14274899967557
47163,TN,Sullivan,Ohio Valley,43211.0,19,76,3,32.8,20,white_not_hispanic_2017,150,119,12.54643291095296,34.11734073945495,28.84395070300295
36011,NY,Cayuga,Northeast,53437.0,11,29,2,25.7,5,white_not_hispanic_2017,50,65,11.76904265266489,33.07559519528159,33.18168740559592
1047,AL,Dallas,Southeast,30488.0,8,36,1,36.3,2,black_2017,25,12,16.05169653664441,36.22271680137441,31.08039514271211
29009,MO,Barry,Ohio Valley,38060.0,13,19,2,32.5,2,white_not_hispanic_2017,15,27,15.67358030611837,41.45785876993166,27.82639971226472
29007,MO,Audrain,Ohio Valley,42463.0,3,15,1,32.5,1,white_not_hispanic_2017,13,18,13.57199954322257,43.04556354916067,29.07388375014274
18157,IN,Tippecanoe,Ohio Valley,51385.0,25,60,7,33.6,22,white_not_hispanic_2017,140,133,7.885351386082373,27.2122843121735,25.1711069103912
47013,TN,Campbell,Ohio Valley,34997.0,8,32,1,32.8,2,white_not_hispanic_2017,28,12,20.81186464280741,38.85252750313327,27.3847653530149
26031,MI,Cheboygan,Upper Midwest,41667.0,6,19,1,32.3,1,white_not_hispanic_2017,13,38,9.888088302928102,35.71976084623639,32.56681486023813
26117,MI,Montcalm,Upper Midwest,46877.0,10,38,2,32.3,5,white_not_hispanic_2017,24,32,10.66270751788366,39.7624510730193,35.06096189319297
22105,LA,Tangipahoa,South,44625.0,20,88,3,36.2,10,white_not_hispanic_2017,81,85,17.94393379196667,35.0190588477696,25.08441982120168
55111,WI,Sauk,Upper Midwest,57647.0,14,44,1,32.0,10,white_not_hispanic_2017,61,82,8.755554563115469,34.1915458991135,33.2804858986669
13115,GA,Floyd,Southeast,46634.0,17,81,3,31.6,10,white_not_hispanic_2017,71,63,16.33302724211815,33.37006427915519,28.92715029078665
53003,WA,Asotin,Northwest,46121.0,4,3,3,27.7,1,white_not_hispanic_2017,10,16,9.016845329249618,27.49157733537519,40.12251148545176
1083,AL,Limestone,Southeast,52181.0,10,59,1,36.3,7,white_not_hispanic_2017,52,44,14.72916114985141,29.33621678877218,31.0192132285874
17193,IL,White,Ohio Valley,44874.0,5,10,1,31.1,1,white_not_hispanic_2017,9,14,9.141470320558195,34.68500353928607,39.04338153503893
12035,FL,Flagler,Southeast,50863.0,13,34,2,28.4,7,white_not_hispanic_2017,49,78,8.4942485059933,32.59295082155975,33.30800142779831
55025,WI,Dane,Upper Midwest,70815.0,80,169,5,32.0,114,white_not_hispanic_2017,437,469,3.813333556498428,17.27046772614295,26.49276526658466
13091,GA,Dodge,Southeast,35779.0,5,20,1,31.6,3,white_not_hispanic_2017,12,4,14.33406330877961,41.30333797863162,29.07956732364457
40013,OK,Bryan,South,39219.0,3,28,1,36.5,3,white_not_hispanic_2017,27,22,12.68286517741477,34.13377989825903,30.54440898606591
28117,MS,Prentiss,South,36558.0,7,12,1,37.3,1,white_not_hispanic_2017,16,13,16.3764705882353,33.54705882352941,36.04705882352941
49003,UT,Box Elder,Southwest,57875.0,5,19,1,25.3,4,white_not_hispanic_2017,32,19,7.106397285814714,30.372589173824,38.820796527799
18003,IN,Allen,Ohio Valley,51329.0,56,129,11,33.6,40,white_not_hispanic_2017,250,257,10.09786476868327,28.62360834503249,32.35128473015769
45043,SC,Georgetown,Southeast,47842.0,15,46,1,34.1,2,white_not_hispanic_2017,42,90,10.82929977412068,27.13993761428418,32.31364956437561
1125,AL,Tuscaloosa,Southeast,47483.0,25,128,4,36.3,12,white_not_hispanic_2017,171,122,10.48037268978158,28.93691767221628,29.43714678478693
40071,OK,Kay,South,44391.0,8,24,1,36.5,1,white_not_hispanic_2017,39,34,11.59671874468157,32.1964668640866,36.86306545491678
48171,TX,Gillespie,South,58787.0,3,14,1,33.0,1,white_not_hispanic_2017,13,49,10.30996272276975,29.96987182760558,25.57320124597866
39167,OH,Washington,Ohio Valley,47802.0,12,33,1,33.8,7,white_not_hispanic_2017,48,39,9.427196594642114,39.89497061953454,32.00851339471614
45015,SC,Berkeley,Southeast,58690.0,24,71,5,34.1,12,white_not_hispanic_2017,108,92,10.9438589871439,30.14244131202329,33.53098132226505
42107,PA,Schuylkill,Northeast,50299.0,30,60,2,31.6,12,white_not_hispanic_2017,71,100,10.60820367751061,45.86785209133159,26.57391103541841
41071,OR,Yamhill,Northwest,60643.0,21,31,3,29.4,8,white_not_hispanic_2017,46,82,10.36234007227268,24.33691906296653,37.95432031587907
12121,FL,Suwannee,Southeast,40572.0,7,30,1,28.4,2,white_not_hispanic_2017,25,16,17.53696130858761,41.15130544196288,25.58666247247562
8013,CO,Boulder,Southwest,74772.0,61,75,5,22.6,70,white_not_hispanic_2017,274,338,4.47094373201218,11.31477353305124,21.24196486089419
51171,VA,Shenandoah,Southeast,53810.0,9,32,1,30.1,2,white_not_hispanic_2017,20,31,11.90957839642937,41.03329801239444,27.40262659345599
12099,FL,Palm Beach,Southeast,57607.0,264,505,22,28.4,204,white_not_hispanic_2017,937,1248,11.22502152860939,23.95056645286636,27.71166276226074
55131,WI,Washington,Upper Midwest,74631.0,16,55,3,32.0,16,white_not_hispanic_2017,84,82,4.890822405141206,29.50977016890447,32.65521162613585
